payment_id,order_id,payment_date,payment_method,payment_status,amount_paid,transaction_fee,refund_amount
,ORD1029129,12/21/2024,Credit Card,Success,41341.23,,0
PAY1029130,ORD1029130,4/5/2023,UPI,Success,12147.87,0,0
PAY1029131,ORD1029131,7/2/2023,,Success,7653.45,0,
PAY1029132,ORD1029132,4/24/2025,,Success,7027.34,0,
PAY1029133,ORD1029133,4/16/2024,Cash on Delivery,Success,4016.25,0,
,ORD1029134,6/2/2025,UPI,Success,3209.54,0,0
PAY1029135,ORD1029135,6/20/2024,,Success,2892.54,0,0
,ORD1029136,3/16/2025,,Success,3748.5,0,0
PAY1029137,ORD1029137,12/30/2023,,,30104.86,0,
PAY1029138,ORD1029138,1/22/2023,Credit Card,Success,568.58,8.53,0
PAY1029139,ORD1029139,12/23/2025,UPI,Success,8199.45,0,0
PAY1029140,ORD1029140,6/17/2025,,Success,8347.5,,0
PAY1029141,ORD1029141,6/26/2023,Credit Card,Refunded,9610.65,144.16,9610.65
PAY1029142,ORD1029142,3/19/2025,Cash on Delivery,Success,2457,0,0
PAY1029143,ORD1029143,12/28/2025,Gift Card,Success,2181.69,0,0
PAY1029144,ORD1029144,12/31/2025,UPI,Success,60669,0,0
PAY1029145,ORD1029145,3/1/2023,,,0,0,0
PAY1029146,ORD1029146,9/28/2023,,Success,5254.88,0,0
PAY1029147,ORD1029147,11/15/2025,,,6344.1,0,6344.1
PAY1029148,ORD1029148,4/30/2025,,Success,19522.07,0,0
PAY1029149,ORD1029149,1/3/2024,,Refunded,67897.1,0,67897.1
PAY1029150,ORD1029150,6/10/2025,Credit Card,Success,8139.6,122.09,0
PAY1029151,ORD1029151,7/23/2025,,,18920.9,0,0
PAY1029152,ORD1029152,12/3/2023,UPI,Success,114800.81,0,0
PAY1029153,ORD1029153,11/27/2024,,Success,,6.41,0
,ORD1029154,,,Success,59371.2,890.57,
PAY1029155,ORD1029155,7/13/2025,Cash on Delivery,Success,4150.12,0,0
PAY1029156,ORD1029156,12/16/2025,Credit Card,Failed,0,0,0
PAY1029157,ORD1029157,12/10/2025,Debit Card,Success,17703,0,0
PAY1029158,ORD1029158,6/28/2023,,Not Charged,0,0,0
PAY1029159,ORD1029159,,,Success,6666.34,100,
,ORD1029160,4/5/2023,EMI,Success,23012.96,345.19,
PAY1029161,ORD1029161,10/18/2025,Net Banking,Success,,0,0
PAY1029162,ORD1029162,4/14/2025,UPI,,573.3,0,0
PAY1029163,ORD1029163,3/31/2025,Cash on Delivery,Success,9846.22,0,0
PAY1029164,,6/28/2024,UPI,Success,6260.62,0,0
PAY1029165,ORD1029165,,UPI,Failed,0,,0
PAY1029166,ORD1029166,11/29/2023,,Success,10748.74,0,0
PAY1029167,ORD1029167,10/24/2024,,Success,66566.64,0,0
PAY1029168,ORD1029168,,Debit Card,Success,131080.95,0,
PAY1029169,ORD1029169,12/23/2025,,Success,1877.56,0,
,ORD1029170,12/25/2025,Wallet,Success,55249.9,,0
PAY1029171,,,,Success,19837.65,0,0
,ORD1029172,4/11/2025,Net Banking,Refunded,145437.39,0,145437.39
PAY1029173,ORD1029173,5/27/2024,Debit Card,Success,633.15,,
PAY1029174,ORD1029174,12/2/2025,,Success,,28.42,0
,ORD1029175,10/8/2025,Wallet,Refunded,6570.9,,6570.9
PAY1029176,ORD1029176,4/20/2024,Wallet,Failed,0,0,0
PAY1029177,ORD1029177,5/31/2024,,Not Charged,0,0,0
,ORD1029178,5/26/2023,,Success,40857.7,0,
PAY1029179,ORD1029179,6/1/2023,Wallet,Refunded,8673.74,43.37,8673.74
PAY1029180,ORD1029180,12/31/2025,UPI,Success,2561.48,0,0
PAY1029181,ORD1029181,2/5/2025,Credit Card,Success,,42.78,0
PAY1029182,ORD1029182,1/10/2024,EMI,Success,29015.7,435.24,
PAY1029183,ORD1029183,,Credit Card,Success,,562.04,0
PAY1029184,ORD1029184,6/23/2023,UPI,Success,37393.34,0,0
,ORD1029185,,,Success,43714.44,0,
PAY1029186,ORD1029186,5/30/2024,,Success,10277.35,51.39,0
PAY1029187,ORD1029187,2/15/2025,,Refunded,15666,234.99,15666
PAY1029188,ORD1029188,1/24/2025,Net Banking,,3351.6,,0
PAY1029189,ORD1029189,,,Success,57398.83,0,0
PAY1029190,ORD1029190,7/14/2025,,Success,39990.93,599.86,0
PAY1029191,ORD1029191,12/15/2024,,Success,11275.74,,0
PAY1029192,ORD1029192,,UPI,Success,1374.45,,0
PAY1029193,ORD1029193,12/23/2023,Credit Card,,75055.31,1125.83,0
PAY1029194,ORD1029194,10/26/2024,,Success,209580,0,
PAY1029195,ORD1029195,11/10/2025,,,0,0,0
PAY1029196,ORD1029196,3/15/2023,UPI,Success,12156.9,0,0
PAY1029197,ORD1029197,9/4/2024,Cash on Delivery,Success,2084.46,0,0
PAY1029198,ORD1029198,2/12/2025,UPI,Refunded,272512.38,0,272512.38
PAY1029199,ORD1029199,8/30/2025,UPI,Success,5466.3,0,0
PAY1029200,ORD1029200,,Cash on Delivery,Success,10435,0,0
PAY1029201,ORD1029201,1/2/2024,Credit Card,Success,4400.97,,
PAY1029202,ORD1029202,10/30/2024,Debit Card,Failed,0,0,
PAY1029203,ORD1029203,6/24/2025,,Success,118234.62,0,0
,ORD1029204,7/9/2024,,Success,5129.56,0,0
PAY1029205,ORD1029205,12/16/2025,,Success,415.4,0,0
PAY1029206,ORD1029206,6/5/2023,,Refunded,2527.46,0,2527.46
PAY1029207,ORD1029207,,,Success,641.24,0,0
PAY1029208,ORD1029208,4/26/2025,Cash on Delivery,Success,25118.1,0,0
PAY1029209,ORD1029209,12/31/2023,,Success,7298.24,0,
PAY1029210,ORD1029210,3/3/2025,,Success,46024.12,0,0
PAY1029211,ORD1029211,4/13/2024,UPI,Refunded,19409.93,0,19409.93
PAY1029212,,12/20/2025,UPI,Success,9156,0,0
PAY1029213,ORD1029213,8/26/2024,UPI,Success,5688.9,,0
PAY1029214,ORD1029214,5/16/2023,Credit Card,Success,2660.49,39.91,0
PAY1029215,ORD1029215,12/23/2025,UPI,,,0,0
PAY1029216,ORD1029216,,,Success,,144.06,0
PAY1029217,ORD1029217,3/16/2024,,Success,10295.67,0,0
PAY1029218,ORD1029218,4/22/2025,Wallet,Success,,104.74,
PAY1029219,ORD1029219,11/21/2025,,Refunded,21525,0,21525
PAY1029220,,10/13/2024,UPI,Success,194574.66,0,
PAY1029221,ORD1029221,8/3/2024,Credit Card,Success,82554.2,1238.31,0
PAY1029222,ORD1029222,8/3/2023,UPI,Success,7315.56,0,0
,ORD1029223,1/28/2024,UPI,,10631.25,0,0
,ORD1029224,3/25/2025,,Success,1013.56,0,0
PAY1029225,ORD1029225,4/22/2025,Credit Card,,3711.64,,0
PAY1029226,ORD1029226,,,Success,32011.14,0,0
PAY1029227,ORD1029227,9/9/2023,,,16063.22,0,
PAY1029228,ORD1029228,11/15/2025,Cash on Delivery,,10710,0,0
PAY1029229,ORD1029229,,Credit Card,Refunded,4561.83,68.43,4561.83
PAY1029230,ORD1029230,10/15/2023,,Success,3242.93,0,0
PAY1029231,ORD1029231,12/14/2025,,Success,24777.9,0,
PAY1029232,ORD1029232,5/2/2025,,Success,24221.08,0,0
PAY1029233,ORD1029233,,,Success,6910.47,0,0
PAY1029234,ORD1029234,12/20/2023,UPI,Success,33531.12,,
PAY1029235,ORD1029235,12/16/2025,,Refunded,,0,
PAY1029236,ORD1029236,11/12/2025,Cash on Delivery,Success,76326.81,0,0
PAY1029237,ORD1029237,12/29/2025,Cash on Delivery,Not Charged,0,0,0
PAY1029238,ORD1029238,3/27/2025,UPI,Success,360.3,0,0
PAY1029239,ORD1029239,10/30/2025,Net Banking,Refunded,,0,17965.5
PAY1029240,ORD1029240,11/2/2025,UPI,Success,7358.87,0,
PAY1029241,ORD1029241,11/21/2025,Credit Card,Success,15441.35,231.62,0
PAY1029242,ORD1029242,2/10/2025,Cash on Delivery,Success,3629.75,0,
,ORD1029243,8/25/2023,,Success,2146.2,0,0
PAY1029244,ORD1029244,8/27/2023,,Failed,0,0,
PAY1029245,ORD1029245,6/28/2023,,Success,,0,0
PAY1029246,ORD1029246,6/2/2023,EMI,Success,21829.5,327.44,0
PAY1029247,ORD1029247,,Credit Card,Failed,0,0,
PAY1029248,ORD1029248,11/30/2024,UPI,Success,58720.62,0,0
PAY1029249,ORD1029249,11/28/2025,,Success,10489.5,0,0
PAY1029250,ORD1029250,4/20/2024,Debit Card,Success,95518.5,0,0
PAY1029251,ORD1029251,10/20/2025,,Not Charged,0,0,
PAY1029252,ORD1029252,8/11/2025,Wallet,Success,23833.53,119.17,0
,ORD1029253,10/3/2024,,Success,3411.45,0,0
PAY1029254,ORD1029254,1/8/2024,EMI,Success,36439.2,546.59,
,ORD1029255,6/3/2023,UPI,Success,7435.68,0,
PAY1029256,ORD1029256,8/11/2023,,Success,11765.25,0,0
PAY1029257,ORD1029257,,,Success,546.6,2.73,0
PAY1029258,ORD1029258,5/11/2024,,Success,193990.65,0,0
PAY1029259,ORD1029259,4/6/2025,Wallet,Success,538.25,2.69,
PAY1029260,ORD1029260,,Cash on Delivery,Success,17219,0,
PAY1029261,ORD1029261,2/2/2024,,Success,5506.2,,0
,ORD1029262,10/13/2025,,Refunded,15657.6,0,15657.6
PAY1029263,ORD1029263,9/28/2023,,,3913.56,0,0
PAY1029264,ORD1029264,9/18/2025,UPI,Refunded,160161.75,0,160161.75
,ORD1029265,,UPI,,13015.59,0,0
PAY1029266,ORD1029266,6/26/2023,UPI,Success,7443.56,0,0
PAY1029267,ORD1029267,,Debit Card,Refunded,3307.5,0,3307.5
PAY1029268,ORD1029268,12/29/2024,,Success,1153.74,0,0
PAY1029269,ORD1029269,3/7/2024,,Success,74362.37,,0
PAY1029270,ORD1029270,7/12/2025,UPI,Success,146461.88,0,
PAY1029271,ORD1029271,6/16/2025,Wallet,Success,903.74,4.52,0
PAY1029272,ORD1029272,,,Success,4612.81,0,0
PAY1029273,ORD1029273,8/16/2024,Debit Card,Success,10055.33,0,0
PAY1029274,ORD1029274,10/11/2025,,Refunded,35343,530.14,
,ORD1029275,2/10/2024,UPI,Success,1134,0,0
PAY1029276,ORD1029276,11/19/2025,,,31147.2,0,0
PAY1029277,ORD1029277,7/29/2024,Cash on Delivery,Success,,,0
PAY1029278,ORD1029278,5/16/2024,Cash on Delivery,Success,11270.7,0,0
PAY1029279,ORD1029279,5/27/2025,,Success,2543.62,0,0
PAY1029280,ORD1029280,6/10/2025,Debit Card,Success,23199.75,0,0
PAY1029281,ORD1029281,11/2/2025,,Success,141258.39,0,0
PAY1029282,ORD1029282,7/24/2024,Credit Card,Success,4166.4,62.5,0
PAY1029283,ORD1029283,12/20/2023,UPI,Success,,0,0
PAY1029284,ORD1029284,,Cash on Delivery,Success,4079.93,0,0
PAY1029285,,7/16/2023,UPI,Success,51413.98,0,0
PAY1029286,ORD1029286,12/18/2024,,,17068.8,0,0
PAY1029287,ORD1029287,,,Refunded,3788.82,0,3788.82
PAY1029288,ORD1029288,3/19/2024,Cash on Delivery,Success,,0,0
PAY1029289,ORD1029289,2/23/2023,,Success,11873.93,178.11,0
PAY1029290,ORD1029290,,,Success,40414.5,,0
PAY1029291,ORD1029291,12/26/2025,Credit Card,Refunded,2447.55,36.71,2447.55
PAY1029292,ORD1029292,7/6/2025,UPI,Success,3357.16,0,0
PAY1029293,ORD1029293,6/24/2023,,Success,169591.17,847.96,0
PAY1029294,ORD1029294,10/26/2023,Debit Card,Success,45743.36,0,0
PAY1029295,ORD1029295,8/5/2025,,Success,43450.05,,0
PAY1029296,ORD1029296,8/15/2025,,Failed,0,,0
PAY1029297,ORD1029297,1/4/2024,Debit Card,Success,2122.78,0,
,ORD1029298,12/10/2024,,,5875.28,0,0
PAY1029299,,6/3/2023,,Success,12766.95,0,0
PAY1029300,ORD1029300,10/29/2024,Net Banking,Success,3991.05,0,0
PAY1029301,ORD1029301,10/16/2023,UPI,Success,512.05,0,
PAY1029302,,3/12/2024,Net Banking,Success,,0,0
PAY1029303,ORD1029303,,,Success,72494.73,,0
PAY1029304,ORD1029304,3/3/2025,UPI,Success,165464.62,0,0
,ORD1029305,10/2/2023,,Refunded,64948.7,974.23,64948.7
PAY1029306,ORD1029306,3/2/2025,,Success,7577.33,37.89,0
PAY1029307,ORD1029307,,Wallet,,5095.12,25.48,0
PAY1029308,ORD1029308,,Net Banking,Failed,0,0,0
PAY1029309,,12/29/2025,EMI,Success,1740.95,26.11,0
PAY1029310,ORD1029310,8/8/2023,,Success,31720.13,0,
PAY1029311,ORD1029311,,UPI,Refunded,5456.43,0,
PAY1029312,ORD1029312,6/7/2023,Net Banking,,,0,0
PAY1029313,ORD1029313,9/18/2025,,Success,25859.72,,0
,ORD1029314,4/22/2023,Net Banking,Success,38381.6,0,0
PAY1029315,ORD1029315,5/7/2025,EMI,Failed,,0,0
PAY1029316,ORD1029316,,Wallet,Success,,237.44,0
PAY1029317,ORD1029317,12/13/2025,Credit Card,Success,22192.54,332.89,
PAY1029318,ORD1029318,7/8/2023,Debit Card,Success,2985.36,0,0
PAY1029319,ORD1029319,10/18/2025,Wallet,Success,46478.62,232.39,
PAY1029320,ORD1029320,7/10/2025,,Success,665.07,9.98,0
PAY1029321,ORD1029321,12/17/2025,EMI,Success,220011.75,3300.18,
PAY1029322,ORD1029322,12/11/2025,,,6804,0,0
PAY1029323,ORD1029323,12/27/2025,,,18694.04,280.41,0
,ORD1029324,12/9/2024,UPI,,40812.66,0,
PAY1029325,ORD1029325,10/3/2025,,Success,9067.43,0,0
PAY1029326,ORD1029326,,,Success,20090.49,0,0
PAY1029327,ORD1029327,3/27/2024,,Success,3626.38,54.4,0
PAY1029328,ORD1029328,,,Failed,0,0,0
,ORD1029329,7/7/2024,Credit Card,Success,116527.95,1747.92,
PAY1029330,ORD1029330,8/28/2025,,Success,,0,0
,ORD1029331,11/15/2025,Net Banking,,4299.75,0,0
PAY1029332,ORD1029332,12/16/2024,UPI,Success,13294.05,0,0
PAY1029333,ORD1029333,8/1/2024,,Success,1002.17,,0
PAY1029334,ORD1029334,,UPI,Refunded,184130.89,0,184130.89
PAY1029335,ORD1029335,10/29/2023,,Success,66157.77,0,
PAY1029336,ORD1029336,6/2/2025,Cash on Delivery,Success,3072.3,0,
PAY1029337,ORD1029337,4/21/2023,Credit Card,Success,45031.04,675.47,0
PAY1029338,ORD1029338,,UPI,Success,68040,0,0
,ORD1029339,,Cash on Delivery,Success,3498.6,0,0
PAY1029340,ORD1029340,3/6/2023,Debit Card,Success,11264.4,0,0
PAY1029341,ORD1029341,10/15/2025,,Success,31922.1,0,0
PAY1029342,ORD1029342,,Debit Card,Success,945,0,0
PAY1029343,ORD1029343,,Credit Card,Success,5199.6,77.99,
PAY1029344,ORD1029344,9/6/2025,UPI,Success,149958.9,0,
PAY1029345,ORD1029345,4/28/2024,,,29720.25,148.6,0
PAY1029346,ORD1029346,10/20/2025,Credit Card,Success,5203.28,78.05,0
PAY1029347,ORD1029347,11/16/2025,,Success,4420.5,22.1,0
PAY1029348,ORD1029348,11/11/2024,UPI,,10556.49,0,0
PAY1029349,ORD1029349,1/6/2023,,,16368.98,0,0
,ORD1029350,11/17/2023,,Refunded,,37.21,2480.62
PAY1029351,ORD1029351,8/21/2025,Credit Card,Success,40075.88,601.14,0
PAY1029352,ORD1029352,12/6/2025,Net Banking,Success,18202.8,0,
PAY1029353,ORD1029353,9/26/2025,,Success,,0,
PAY1029354,ORD1029354,12/26/2025,,Success,1678.95,25.18,0
PAY1029355,,10/31/2024,Credit Card,Failed,0,0,0
PAY1029356,ORD1029356,3/5/2024,Cash on Delivery,Not Charged,0,0,0
PAY1029357,ORD1029357,8/26/2025,,Success,14419.54,0,
,ORD1029358,8/29/2023,,Success,7383.81,0,0
PAY1029359,ORD1029359,8/11/2023,UPI,Success,68491.5,0,0
,ORD1029360,1/17/2023,Cash on Delivery,Success,10764.18,0,0
PAY1029361,ORD1029361,2/16/2023,UPI,Success,26167.63,0,
PAY1029362,ORD1029362,4/29/2024,,Success,208803.32,,0
,ORD1029363,9/1/2025,Debit Card,,17638.42,0,0
PAY1029364,ORD1029364,4/21/2024,Net Banking,Success,15330.47,0,0
PAY1029365,ORD1029365,2/17/2025,Debit Card,Success,,0,
PAY1029366,ORD1029366,10/6/2025,Debit Card,Success,3578.5,0,
PAY1029367,ORD1029367,8/22/2024,Cash on Delivery,Success,18511.76,0,0
PAY1029368,ORD1029368,10/25/2025,,Success,2741.29,,0
PAY1029369,ORD1029369,12/11/2025,Debit Card,Success,,0,
PAY1029370,ORD1029370,10/1/2025,,Success,170997.75,2564.97,0
PAY1029371,ORD1029371,5/8/2024,,Success,,0,
PAY1029372,ORD1029372,,,Success,4341.96,0,0
PAY1029373,ORD1029373,7/22/2025,Net Banking,Refunded,9177,0,
PAY1029374,ORD1029374,12/19/2025,Net Banking,Success,42917.28,0,0
PAY1029375,ORD1029375,10/22/2025,,Success,16883.79,0,0
PAY1029376,ORD1029376,8/8/2024,,Success,11616.68,0,0
PAY1029377,ORD1029377,11/26/2025,Cash on Delivery,Not Charged,0,0,0
,ORD1029378,5/12/2024,Pay Later,Success,7561.37,0,
PAY1029379,ORD1029379,5/22/2023,Net Banking,Success,12728.84,0,0
,ORD1029380,6/3/2024,,Success,142388.4,0,0
,ORD1029381,,UPI,Refunded,5824.66,0,
PAY1029382,ORD1029382,3/15/2023,Cash on Delivery,Success,9787.47,0,0
PAY1029383,ORD1029383,,Debit Card,Success,88165.14,,0
PAY1029384,ORD1029384,10/25/2023,Debit Card,Success,19977.3,0,0
PAY1029385,ORD1029385,7/18/2023,,Success,19053.09,0,0
PAY1029386,ORD1029386,11/23/2025,,Success,13263.6,0,0
PAY1029387,ORD1029387,11/28/2024,,Not Charged,,0,0
PAY1029388,ORD1029388,11/6/2024,UPI,Success,6618.15,0,0
PAY1029389,ORD1029389,12/30/2025,Debit Card,Refunded,3061.07,,3061.07
PAY1029390,ORD1029390,12/12/2024,Net Banking,Success,183864.56,0,0
PAY1029391,ORD1029391,11/4/2025,,Success,29561.7,0,0
,ORD1029392,,Net Banking,Success,,0,
,ORD1029393,2/9/2025,,Success,37760.73,0,0
PAY1029394,ORD1029394,7/6/2024,Net Banking,Success,1699.11,0,0
PAY1029395,ORD1029395,4/6/2024,,Not Charged,0,0,
PAY1029396,ORD1029396,9/14/2025,Debit Card,Success,161469,0,0
PAY1029397,ORD1029397,3/8/2023,Cash on Delivery,,0,0,0
PAY1029398,ORD1029398,1/21/2025,,Success,,86.65,
PAY1029399,ORD1029399,4/16/2024,UPI,Success,27253.8,0,0
,ORD1029400,,,Failed,0,0,0
PAY1029401,ORD1029401,5/18/2025,,Success,7545.2,0,0
PAY1029402,ORD1029402,6/18/2023,,Refunded,103593,1553.9,103593
PAY1029403,ORD1029403,10/30/2025,UPI,Success,21577.29,0,0
PAY1029404,ORD1029404,11/4/2023,,,19499.55,292.49,19499.55
PAY1029405,ORD1029405,12/11/2023,,Success,70115.22,350.58,0
PAY1029406,ORD1029406,10/20/2025,,Success,41937.52,0,0
PAY1029407,ORD1029407,3/21/2025,,Refunded,46713.87,0,46713.87
PAY1029408,ORD1029408,6/5/2025,Debit Card,Success,15998.32,0,0
PAY1029409,ORD1029409,,Credit Card,Refunded,16286.76,244.3,16286.76
PAY1029410,ORD1029410,,Credit Card,Failed,0,0,0
PAY1029411,ORD1029411,10/4/2023,,,12669.19,63.35,0
PAY1029412,ORD1029412,4/5/2024,,Refunded,8830.08,44.15,8830.08
PAY1029413,ORD1029413,,,Refunded,3715.22,18.58,3715.22
PAY1029414,ORD1029414,11/1/2024,Credit Card,,900.48,13.51,900.48
PAY1029415,ORD1029415,,,Success,1197,17.95,0
PAY1029416,ORD1029416,9/26/2025,Cash on Delivery,Success,,0,0
PAY1029417,ORD1029417,,UPI,Refunded,,0,2049.86
PAY1029418,,11/14/2025,,Success,26175.87,0,0
PAY1029419,ORD1029419,6/3/2024,Cash on Delivery,Success,4677.75,0,0
PAY1029420,ORD1029420,12/27/2024,,Failed,0,,0
PAY1029421,ORD1029421,11/5/2025,,Success,16809.24,0,0
PAY1029422,ORD1029422,10/16/2025,,Success,32362.05,,0
PAY1029423,ORD1029423,3/21/2025,UPI,Success,68891.44,0,0
PAY1029424,ORD1029424,10/20/2023,Credit Card,,181287.54,2719.31,181287.54
PAY1029425,ORD1029425,3/16/2023,UPI,Success,59749.2,,0
PAY1029426,ORD1029426,8/11/2025,UPI,,0,0,0
PAY1029427,ORD1029427,1/28/2024,Pay Later,,1955.1,0,
PAY1029428,ORD1029428,6/6/2025,,Success,4354.14,65.31,
PAY1029429,ORD1029429,11/13/2023,,Success,4791.15,0,
PAY1029430,ORD1029430,11/26/2024,UPI,Success,26402.78,0,0
PAY1029431,ORD1029431,10/22/2025,Pay Later,Refunded,331.31,0,331.31
PAY1029432,ORD1029432,4/13/2023,UPI,Success,,0,0
PAY1029433,ORD1029433,3/10/2025,UPI,,31826.02,0,0
PAY1029434,ORD1029434,,Credit Card,Success,,14.41,0
PAY1029435,ORD1029435,,Cash on Delivery,Success,4619.06,0,0
PAY1029436,ORD1029436,11/20/2025,UPI,Success,6077.92,0,0
PAY1029437,ORD1029437,12/22/2024,Cash on Delivery,Success,1757.7,0,0
PAY1029438,ORD1029438,9/18/2023,,Success,11601.14,174.02,0
PAY1029439,ORD1029439,5/23/2024,,Success,8046.68,0,0
PAY1029440,ORD1029440,8/1/2025,UPI,Success,,0,0
,ORD1029441,1/19/2025,UPI,Success,8414.38,,0
PAY1029442,ORD1029442,11/12/2025,,Success,26406.29,0,0
,ORD1029443,,Debit Card,Success,88637.85,0,0
PAY1029444,ORD1029444,8/2/2024,UPI,Failed,0,0,0
PAY1029445,ORD1029445,2/8/2025,Debit Card,Failed,,0,0
PAY1029446,ORD1029446,7/3/2025,Wallet,Success,8013.6,40.07,0
,ORD1029447,3/14/2023,Credit Card,Success,,363.14,0
PAY1029448,ORD1029448,8/8/2023,Wallet,Success,10235.92,51.18,0
PAY1029449,ORD1029449,9/15/2024,,,26199.39,392.99,0
PAY1029450,ORD1029450,2/15/2023,,Success,160074.34,0,0
PAY1029451,ORD1029451,8/7/2023,UPI,Refunded,14775.6,0,14775.6
PAY1029452,ORD1029452,4/20/2025,Credit Card,Refunded,9903.6,148.55,9903.6
PAY1029453,ORD1029453,11/30/2025,UPI,Success,30104.66,0,0
PAY1029454,ORD1029454,,Debit Card,Success,2512.12,0,
PAY1029455,ORD1029455,,,Success,21932.4,,0
PAY1029456,,8/20/2024,,Success,1874.04,0,0
PAY1029457,ORD1029457,,UPI,Success,39077.8,0,
PAY1029458,ORD1029458,6/1/2024,UPI,Success,,0,0
PAY1029459,ORD1029459,,UPI,,16340.62,0,0
PAY1029460,ORD1029460,,UPI,Success,,0,0
PAY1029461,ORD1029461,4/6/2025,,Failed,0,0,0
PAY1029462,ORD1029462,8/15/2023,,,71730.49,0,0
PAY1029463,ORD1029463,,UPI,Success,3941.28,,0
PAY1029464,ORD1029464,7/13/2024,Cash on Delivery,,23681.39,0,0
PAY1029465,ORD1029465,6/29/2023,,Success,6583.5,0,0
,,7/27/2024,Cash on Delivery,Success,44758.35,0,0
PAY1029467,ORD1029467,12/10/2025,,Success,5491.92,27.46,0
PAY1029468,ORD1029468,,,Success,25968.23,0,0
PAY1029469,ORD1029469,3/14/2024,Debit Card,Success,3525.38,0,0
PAY1029470,ORD1029470,12/6/2025,,Success,3934.46,0,0
,ORD1029471,9/5/2025,UPI,Success,31238.97,,0
PAY1029472,,11/3/2025,Cash on Delivery,Success,8212.05,0,0
PAY1029473,ORD1029473,1/14/2024,Net Banking,Success,63958.02,0,0
PAY1029474,ORD1029474,,,Refunded,25955.27,,25955.27
PAY1029475,ORD1029475,,,Not Charged,0,0,0
PAY1029476,ORD1029476,12/13/2024,,Success,5269.32,79.04,0
PAY1029477,ORD1029477,10/7/2025,UPI,Success,,0,0
PAY1029478,ORD1029478,8/1/2025,,Success,2537.01,0,0
PAY1029479,ORD1029479,8/20/2025,,,5678.19,28.39,
PAY1029480,ORD1029480,,Net Banking,Success,16461.48,0,
PAY1029481,ORD1029481,11/10/2024,UPI,Success,13227.38,0,0
PAY1029482,ORD1029482,8/26/2025,UPI,Success,33711.93,0,
PAY1029483,ORD1029483,,,Success,50213.2,0,
PAY1029484,ORD1029484,,,Failed,0,0,0
PAY1029485,ORD1029485,12/8/2024,Cash on Delivery,Success,10699.5,0,
PAY1029486,ORD1029486,,,Success,,0,0
PAY1029487,ORD1029487,4/1/2025,UPI,Success,266157.68,0,0
PAY1029488,ORD1029488,,,Success,17416.35,0,0
PAY1029489,ORD1029489,,EMI,,0,0,0
PAY1029490,ORD1029490,10/8/2024,Credit Card,Success,78063.82,1170.96,0
PAY1029491,ORD1029491,4/21/2023,,Success,,0,
PAY1029492,ORD1029492,12/1/2025,UPI,Success,15245.58,0,0
PAY1029493,ORD1029493,10/2/2025,,Success,31203.32,0,0
PAY1029494,ORD1029494,5/21/2025,UPI,Success,2818.62,0,0
PAY1029495,ORD1029495,3/26/2024,UPI,Success,8067.68,0,0
PAY1029496,ORD1029496,12/15/2023,Cash on Delivery,Success,17994.38,0,0
PAY1029497,ORD1029497,9/26/2025,Net Banking,Success,8137.5,,0
PAY1029498,ORD1029498,,UPI,Success,30372.2,0,
PAY1029499,ORD1029499,12/30/2024,Credit Card,Success,2914.8,43.72,0
,ORD1029500,1/12/2024,Credit Card,Success,2286.9,34.3,0
PAY1029501,ORD1029501,7/22/2025,,Success,11813.24,,0
PAY1029502,ORD1029502,10/6/2025,Net Banking,Success,13526.73,0,
PAY1029503,ORD1029503,10/1/2023,,Success,,0,0
PAY1029504,ORD1029504,10/8/2024,Credit Card,Success,3517.5,52.76,0
PAY1029505,ORD1029505,8/15/2023,,Success,10710,53.55,0
PAY1029506,ORD1029506,5/31/2024,Gift Card,Success,61376.96,0,0
PAY1029507,ORD1029507,8/5/2023,,Success,119530.01,0,0
PAY1029508,ORD1029508,6/25/2025,,,8594.83,,0
PAY1029509,ORD1029509,11/16/2025,Credit Card,Success,225.4,3.38,0
PAY1029510,ORD1029510,,Credit Card,Success,18748.59,281.23,0
PAY1029511,ORD1029511,6/14/2023,Pay Later,Success,3142.12,0,0
PAY1029512,ORD1029512,11/23/2023,,Success,49867.97,748.02,
PAY1029513,ORD1029513,3/11/2024,UPI,Refunded,52210.78,0,52210.78
PAY1029514,ORD1029514,12/30/2023,Credit Card,,0,0,
PAY1029515,ORD1029515,,,Success,15214.5,0,0
PAY1029516,ORD1029516,12/12/2023,,Success,4478.88,0,0
PAY1029517,ORD1029517,,Cash on Delivery,Success,18908.5,0,0
PAY1029518,ORD1029518,5/18/2024,Wallet,Success,2394,11.97,0
PAY1029519,ORD1029519,4/30/2023,Credit Card,Success,566.12,8.49,0
PAY1029520,ORD1029520,11/15/2023,,Success,2207.52,33.11,
PAY1029521,ORD1029521,5/15/2023,UPI,Success,35705.41,0,0
PAY1029522,ORD1029522,9/30/2025,Debit Card,Refunded,49745.43,0,49745.43
PAY1029523,ORD1029523,4/18/2023,,Success,4522.46,0,
PAY1029524,ORD1029524,12/25/2023,,Success,65951.55,0,0
PAY1029525,ORD1029525,8/7/2024,Cash on Delivery,,9460.5,0,0
PAY1029526,ORD1029526,12/14/2025,UPI,Success,2126.25,0,0
PAY1029527,ORD1029527,,Credit Card,Success,20223.47,303.35,0
PAY1029528,ORD1029528,12/15/2025,,Refunded,6745.2,0,
PAY1029529,ORD1029529,,Credit Card,Failed,0,0,
PAY1029530,ORD1029530,12/13/2025,,Failed,0,0,0
PAY1029531,ORD1029531,11/19/2024,Wallet,,,57.33,0
PAY1029532,ORD1029532,9/28/2025,,Success,27126.75,0,0
